step_no,rule_id,rule_name,table_name,rows_in,rows_out,rows_affected,severity,rows_quarantined,rule_description
1,R01,Load raw billing extract,billing_raw,17310,17310,0,info,0,Source of record for revenue.
2,R02,Quarantine orphan billing rows,billing_raw,17310,17298,12,warn,12,"Billing lines whose customer_id has no row in the CRM export. They cannot be attributed to a segment or channel, so they are removed from the facts and held in dq_quarantine."
3,R03,Separate credit memos from recurring,billing_raw,17298,17059,239,info,0,"Credit memos are one-off adjustments, not changes to the recurring contract. They are excluded from MRR and held in fact_credit_memo, where they reduce recognised revenue only."
4,R04,Quarantine non-positive recurring lines,billing_raw,17059,17052,7,warn,7,"A recurring subscription line cannot have negative seats. These are data-entry corruption, not contraction — contraction is a *reduction* between two positive months and is derived at R09."
5,R05,De-duplicate subscription-month lines,billing_raw,17052,16895,157,warn,157,"One row per subscription per month, keeping the earliest created_at. This is the only outlier treatment applied anywhere in the pipeline with a documented mechanical cause: the February 2026 cut-over to the new billing engine double-posted invoices. Concentration by month: {""2026-02"": 157}"
6,R06,Impute missing segment from first-month ARR,customers,826,826,11,info,0,"Bands: <$15k SMB, $15k-$60k Mid-Market, >=$60k Enterprise. Flagged in dim_customer.segment_imputed so any analysis can exclude them."
7,R07,Bucket missing channel as 'unattributed',customers,826,826,17,warn,0,Attribution is NOT imputed. Guessing a channel from revenue would feed a fabricated denominator straight into CAC. These customers are excluded from every channel CAC and LTV/CAC figure and the exclusion is reported alongside the result.
8,R08,Impute missing plan from contracted seat price,customers,826,826,7,info,0,Seat price uniquely identifies the plan in the current rate card.
9,R09,Derive dense subscription-month spine and movements,fact_subscription_month,16895,17181,286,info,0,"Each customer gets a contiguous month spine from first to last active month, plus one trailing month so churn is an observable event rather than an absence. movement_type is one of opening_balance / new / expansion / contraction / churn / reactivation / flat and is derived purely from the month-over-month MRR level — never copied from the source system. This is what makes the ARR bridge an actual reconciliation."
10,R10,Flag >5-sigma MRR movements (no removal),fact_subscription_month,17181,17181,18,warn,0,"Threshold |delta MRR| > 1,331 (5 x sd of expansion and contraction deltas). These are FLAGGED, not normalised: the only outlier with a documented mechanical cause is the billing migration, already handled at R05. Removing the rest would be curve-fitting, so they stay in the history and carry outlier_flag = 1."
11,R11,Cross-foot marketing spend: GL vs platform export,fact_marketing_spend,216,216,0,info,0,Marketing-programme lines in opex_ledger must agree with marketing_spend by month x channel. Absolute variance = $0.00. A non-zero variance here means CAC is being built on a different spend number than the P&L.
12,R12,Flag pre-window customers as unattributable,dim_customer,826,826,452,warn,0,"452 customers were acquired before the S&M ledger begins. They carry no acquisition cost and are excluded from every CAC, LTV and payback figure. Including them is the standard way CAC gets flattered — the denominator grows, the numerator does not."
13,R13,Recognised revenue = MRR less credit memos,fact_credit_memo,239,239,0,info,0,"Total credit memos across the window: $-92,785.55 over 239 lines. Recognised revenue feeds the cash model; MRR feeds the ARR bridge and retention metrics. They are different numbers on purpose."
