month,cost_category,cost_center,gl_account,amount,note
2023-09,COGS,cs_am,Personnel,36000.0,3 x cs_am fully loaded
2023-09,COGS,infrastructure,Hosting,21519.48,"cloud infrastructure, % of MRR"
2023-09,COGS,infrastructure,Third-party licences,12974.98,"carrier / EDI / mapping licences, % of MRR"
2023-09,GA,corporate,"Facilities, insurance, professional fees",40000.0,fixed corporate overhead
2023-09,GA,ga,Personnel,46500.0,3 x ga fully loaded
2023-09,RD,engineering,Personnel,140000.0,8 x engineering fully loaded
2023-09,RD,engineering,R&D tooling,21000.0,"CI, observability, dev environments"
2023-09,SM,ae,Personnel,45000.0,3 x ae fully loaded
2023-09,SM,events,Marketing programmes,5100.0,ties to marketing_spend.csv
2023-09,SM,inbound_content,Marketing programmes,7650.0,ties to marketing_spend.csv
2023-09,SM,marketing,Marketing operations,12000.0,"martech stack, agency retainers"
2023-09,SM,marketing,Personnel,28000.0,2 x marketing fully loaded
2023-09,SM,outbound_sdr,Marketing programmes,4000.0,ties to marketing_spend.csv
2023-09,SM,paid_search,Marketing programmes,17000.0,ties to marketing_spend.csv
2023-09,SM,paid_social,Marketing programmes,6000.0,ties to marketing_spend.csv
2023-09,SM,partner,Marketing programmes,3400.0,ties to marketing_spend.csv
2023-09,SM,sales,Sales commission,12806.4,10% of new ACV + 5% of expansion ACV
2023-09,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2023-09,SM,sdr,Personnel,22000.0,2 x sdr fully loaded
2023-09,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2023-10,COGS,cs_am,Personnel,36000.0,3 x cs_am fully loaded
2023-10,COGS,infrastructure,Hosting,21662.9,"cloud infrastructure, % of MRR"
2023-10,COGS,infrastructure,Third-party licences,13061.45,"carrier / EDI / mapping licences, % of MRR"
2023-10,GA,corporate,"Facilities, insurance, professional fees",40500.0,fixed corporate overhead
2023-10,GA,ga,Personnel,46500.0,3 x ga fully loaded
2023-10,RD,engineering,Personnel,140000.0,8 x engineering fully loaded
2023-10,RD,engineering,R&D tooling,21294.0,"CI, observability, dev environments"
2023-10,SM,ae,Personnel,45000.0,3 x ae fully loaded
2023-10,SM,events,Marketing programmes,5700.0,ties to marketing_spend.csv
2023-10,SM,inbound_content,Marketing programmes,8200.0,ties to marketing_spend.csv
2023-10,SM,marketing,Marketing operations,12138.0,"martech stack, agency retainers"
2023-10,SM,marketing,Personnel,28000.0,2 x marketing fully loaded
2023-10,SM,outbound_sdr,Marketing programmes,4333.33,ties to marketing_spend.csv
2023-10,SM,paid_search,Marketing programmes,17772.73,ties to marketing_spend.csv
2023-10,SM,paid_social,Marketing programmes,6384.62,ties to marketing_spend.csv
2023-10,SM,partner,Marketing programmes,3777.78,ties to marketing_spend.csv
2023-10,SM,sales,Sales commission,5845.8,10% of new ACV + 5% of expansion ACV
2023-10,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2023-10,SM,sdr,Personnel,22000.0,2 x sdr fully loaded
2023-10,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2023-11,COGS,cs_am,Personnel,36000.0,3 x cs_am fully loaded
2023-11,COGS,infrastructure,Hosting,22238.45,"cloud infrastructure, % of MRR"
2023-11,COGS,infrastructure,Third-party licences,13408.48,"carrier / EDI / mapping licences, % of MRR"
2023-11,GA,corporate,"Facilities, insurance, professional fees",41006.25,fixed corporate overhead
2023-11,GA,ga,Personnel,46500.0,3 x ga fully loaded
2023-11,RD,engineering,Personnel,140000.0,8 x engineering fully loaded
2023-11,RD,engineering,R&D tooling,21592.12,"CI, observability, dev environments"
2023-11,SM,ae,Personnel,45000.0,3 x ae fully loaded
2023-11,SM,events,Marketing programmes,6300.0,ties to marketing_spend.csv
2023-11,SM,inbound_content,Marketing programmes,8750.0,ties to marketing_spend.csv
2023-11,SM,marketing,Marketing operations,12277.59,"martech stack, agency retainers"
2023-11,SM,marketing,Personnel,28000.0,2 x marketing fully loaded
2023-11,SM,outbound_sdr,Marketing programmes,4666.67,ties to marketing_spend.csv
2023-11,SM,paid_search,Marketing programmes,18545.45,ties to marketing_spend.csv
2023-11,SM,paid_social,Marketing programmes,6769.23,ties to marketing_spend.csv
2023-11,SM,partner,Marketing programmes,4155.56,ties to marketing_spend.csv
2023-11,SM,sales,Sales commission,13015.2,10% of new ACV + 5% of expansion ACV
2023-11,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2023-11,SM,sdr,Personnel,22000.0,2 x sdr fully loaded
2023-11,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2023-12,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2023-12,COGS,infrastructure,Hosting,22346.09,"cloud infrastructure, % of MRR"
2023-12,COGS,infrastructure,Third-party licences,13473.38,"carrier / EDI / mapping licences, % of MRR"
2023-12,GA,corporate,"Facilities, insurance, professional fees",41518.83,fixed corporate overhead
2023-12,GA,ga,Personnel,46500.0,3 x ga fully loaded
2023-12,RD,engineering,Personnel,157500.0,9 x engineering fully loaded
2023-12,RD,engineering,R&D tooling,21894.41,"CI, observability, dev environments"
2023-12,SM,ae,Personnel,60000.0,4 x ae fully loaded
2023-12,SM,events,Marketing programmes,6900.0,ties to marketing_spend.csv
2023-12,SM,inbound_content,Marketing programmes,9300.0,ties to marketing_spend.csv
2023-12,SM,marketing,Marketing operations,12418.78,"martech stack, agency retainers"
2023-12,SM,marketing,Personnel,28000.0,2 x marketing fully loaded
2023-12,SM,outbound_sdr,Marketing programmes,5000.0,ties to marketing_spend.csv
2023-12,SM,paid_search,Marketing programmes,19318.18,ties to marketing_spend.csv
2023-12,SM,paid_social,Marketing programmes,7153.85,ties to marketing_spend.csv
2023-12,SM,partner,Marketing programmes,4533.33,ties to marketing_spend.csv
2023-12,SM,sales,Sales commission,3911.4,10% of new ACV + 5% of expansion ACV
2023-12,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2023-12,SM,sdr,Personnel,22000.0,2 x sdr fully loaded
2023-12,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-01,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2024-01,COGS,infrastructure,Hosting,23141.76,"cloud infrastructure, % of MRR"
2024-01,COGS,infrastructure,Third-party licences,13953.12,"carrier / EDI / mapping licences, % of MRR"
2024-01,GA,corporate,"Facilities, insurance, professional fees",42037.81,fixed corporate overhead
2024-01,GA,ga,Personnel,46500.0,3 x ga fully loaded
2024-01,RD,engineering,Personnel,157500.0,9 x engineering fully loaded
2024-01,RD,engineering,R&D tooling,22200.93,"CI, observability, dev environments"
2024-01,SM,ae,Personnel,60000.0,4 x ae fully loaded
2024-01,SM,events,Marketing programmes,7500.0,ties to marketing_spend.csv
2024-01,SM,inbound_content,Marketing programmes,9850.0,ties to marketing_spend.csv
2024-01,SM,marketing,Marketing operations,12561.6,"martech stack, agency retainers"
2024-01,SM,marketing,Personnel,28000.0,2 x marketing fully loaded
2024-01,SM,outbound_sdr,Marketing programmes,5333.33,ties to marketing_spend.csv
2024-01,SM,paid_search,Marketing programmes,20090.91,ties to marketing_spend.csv
2024-01,SM,paid_social,Marketing programmes,7538.46,ties to marketing_spend.csv
2024-01,SM,partner,Marketing programmes,4911.11,ties to marketing_spend.csv
2024-01,SM,sales,Sales commission,14831.4,10% of new ACV + 5% of expansion ACV
2024-01,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2024-01,SM,sdr,Personnel,22000.0,2 x sdr fully loaded
2024-01,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-02,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2024-02,COGS,infrastructure,Hosting,23617.69,"cloud infrastructure, % of MRR"
2024-02,COGS,infrastructure,Third-party licences,14240.08,"carrier / EDI / mapping licences, % of MRR"
2024-02,GA,corporate,"Facilities, insurance, professional fees",42563.29,fixed corporate overhead
2024-02,GA,ga,Personnel,46500.0,3 x ga fully loaded
2024-02,RD,engineering,Personnel,157500.0,9 x engineering fully loaded
2024-02,RD,engineering,R&D tooling,22511.74,"CI, observability, dev environments"
2024-02,SM,ae,Personnel,60000.0,4 x ae fully loaded
2024-02,SM,events,Marketing programmes,8100.0,ties to marketing_spend.csv
2024-02,SM,inbound_content,Marketing programmes,10400.0,ties to marketing_spend.csv
2024-02,SM,marketing,Marketing operations,12706.05,"martech stack, agency retainers"
2024-02,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-02,SM,outbound_sdr,Marketing programmes,5666.67,ties to marketing_spend.csv
2024-02,SM,paid_search,Marketing programmes,20863.64,ties to marketing_spend.csv
2024-02,SM,paid_social,Marketing programmes,7923.08,ties to marketing_spend.csv
2024-02,SM,partner,Marketing programmes,5288.89,ties to marketing_spend.csv
2024-02,SM,sales,Sales commission,12918.0,10% of new ACV + 5% of expansion ACV
2024-02,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2024-02,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-02,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-03,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2024-03,COGS,infrastructure,Hosting,24913.43,"cloud infrastructure, % of MRR"
2024-03,COGS,infrastructure,Third-party licences,15021.33,"carrier / EDI / mapping licences, % of MRR"
2024-03,GA,corporate,"Facilities, insurance, professional fees",43095.33,fixed corporate overhead
2024-03,GA,ga,Personnel,46500.0,3 x ga fully loaded
2024-03,RD,engineering,Personnel,157500.0,9 x engineering fully loaded
2024-03,RD,engineering,R&D tooling,22826.9,"CI, observability, dev environments"
2024-03,SM,ae,Personnel,60000.0,4 x ae fully loaded
2024-03,SM,events,Marketing programmes,8700.0,ties to marketing_spend.csv
2024-03,SM,inbound_content,Marketing programmes,10950.0,ties to marketing_spend.csv
2024-03,SM,marketing,Marketing operations,12852.17,"martech stack, agency retainers"
2024-03,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-03,SM,outbound_sdr,Marketing programmes,6000.0,ties to marketing_spend.csv
2024-03,SM,paid_search,Marketing programmes,21636.36,ties to marketing_spend.csv
2024-03,SM,paid_social,Marketing programmes,8307.69,ties to marketing_spend.csv
2024-03,SM,partner,Marketing programmes,5666.67,ties to marketing_spend.csv
2024-03,SM,sales,Sales commission,26028.0,10% of new ACV + 5% of expansion ACV
2024-03,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2024-03,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-03,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-04,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2024-04,COGS,infrastructure,Hosting,25683.94,"cloud infrastructure, % of MRR"
2024-04,COGS,infrastructure,Third-party licences,15485.91,"carrier / EDI / mapping licences, % of MRR"
2024-04,GA,corporate,"Facilities, insurance, professional fees",43634.02,fixed corporate overhead
2024-04,GA,ga,Personnel,46500.0,3 x ga fully loaded
2024-04,RD,engineering,Personnel,175000.0,10 x engineering fully loaded
2024-04,RD,engineering,R&D tooling,23146.48,"CI, observability, dev environments"
2024-04,SM,ae,Personnel,60000.0,4 x ae fully loaded
2024-04,SM,events,Marketing programmes,9300.0,ties to marketing_spend.csv
2024-04,SM,inbound_content,Marketing programmes,11500.0,ties to marketing_spend.csv
2024-04,SM,marketing,Marketing operations,12999.97,"martech stack, agency retainers"
2024-04,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-04,SM,outbound_sdr,Marketing programmes,6333.33,ties to marketing_spend.csv
2024-04,SM,paid_search,Marketing programmes,22409.09,ties to marketing_spend.csv
2024-04,SM,paid_social,Marketing programmes,8692.31,ties to marketing_spend.csv
2024-04,SM,partner,Marketing programmes,6044.44,ties to marketing_spend.csv
2024-04,SM,sales,Sales commission,19027.2,10% of new ACV + 5% of expansion ACV
2024-04,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2024-04,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-04,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-05,COGS,cs_am,Personnel,48000.0,4 x cs_am fully loaded
2024-05,COGS,infrastructure,Hosting,25845.03,"cloud infrastructure, % of MRR"
2024-05,COGS,infrastructure,Third-party licences,15583.03,"carrier / EDI / mapping licences, % of MRR"
2024-05,GA,corporate,"Facilities, insurance, professional fees",44179.44,fixed corporate overhead
2024-05,GA,ga,Personnel,46500.0,3 x ga fully loaded
2024-05,RD,engineering,Personnel,175000.0,10 x engineering fully loaded
2024-05,RD,engineering,R&D tooling,23470.53,"CI, observability, dev environments"
2024-05,SM,ae,Personnel,60000.0,4 x ae fully loaded
2024-05,SM,events,Marketing programmes,9900.0,ties to marketing_spend.csv
2024-05,SM,inbound_content,Marketing programmes,12050.0,ties to marketing_spend.csv
2024-05,SM,marketing,Marketing operations,13149.47,"martech stack, agency retainers"
2024-05,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-05,SM,outbound_sdr,Marketing programmes,6666.67,ties to marketing_spend.csv
2024-05,SM,paid_search,Marketing programmes,23181.82,ties to marketing_spend.csv
2024-05,SM,paid_social,Marketing programmes,9076.92,ties to marketing_spend.csv
2024-05,SM,partner,Marketing programmes,6422.22,ties to marketing_spend.csv
2024-05,SM,sales,Sales commission,12329.4,10% of new ACV + 5% of expansion ACV
2024-05,SM,sales_engineer,Personnel,16500.0,1 x sales_engineer fully loaded
2024-05,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-05,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-06,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-06,COGS,infrastructure,Hosting,26049.37,"cloud infrastructure, % of MRR"
2024-06,COGS,infrastructure,Third-party licences,15706.24,"carrier / EDI / mapping licences, % of MRR"
2024-06,GA,corporate,"Facilities, insurance, professional fees",44731.69,fixed corporate overhead
2024-06,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-06,RD,engineering,Personnel,175000.0,10 x engineering fully loaded
2024-06,RD,engineering,R&D tooling,23799.12,"CI, observability, dev environments"
2024-06,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-06,SM,events,Marketing programmes,10500.0,ties to marketing_spend.csv
2024-06,SM,inbound_content,Marketing programmes,12600.0,ties to marketing_spend.csv
2024-06,SM,marketing,Marketing operations,13300.69,"martech stack, agency retainers"
2024-06,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-06,SM,outbound_sdr,Marketing programmes,7000.0,ties to marketing_spend.csv
2024-06,SM,paid_search,Marketing programmes,23954.55,ties to marketing_spend.csv
2024-06,SM,paid_social,Marketing programmes,9461.54,ties to marketing_spend.csv
2024-06,SM,partner,Marketing programmes,6800.0,ties to marketing_spend.csv
2024-06,SM,sales,Sales commission,6301.2,10% of new ACV + 5% of expansion ACV
2024-06,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-06,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-06,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-07,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-07,COGS,infrastructure,Hosting,26877.75,"cloud infrastructure, % of MRR"
2024-07,COGS,infrastructure,Third-party licences,16205.7,"carrier / EDI / mapping licences, % of MRR"
2024-07,GA,corporate,"Facilities, insurance, professional fees",45290.83,fixed corporate overhead
2024-07,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-07,RD,engineering,Personnel,175000.0,10 x engineering fully loaded
2024-07,RD,engineering,R&D tooling,24132.31,"CI, observability, dev environments"
2024-07,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-07,SM,events,Marketing programmes,11100.0,ties to marketing_spend.csv
2024-07,SM,inbound_content,Marketing programmes,13150.0,ties to marketing_spend.csv
2024-07,SM,marketing,Marketing operations,13453.65,"martech stack, agency retainers"
2024-07,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-07,SM,outbound_sdr,Marketing programmes,7333.33,ties to marketing_spend.csv
2024-07,SM,paid_search,Marketing programmes,24727.27,ties to marketing_spend.csv
2024-07,SM,paid_social,Marketing programmes,9846.15,ties to marketing_spend.csv
2024-07,SM,partner,Marketing programmes,7177.78,ties to marketing_spend.csv
2024-07,SM,sales,Sales commission,19783.2,10% of new ACV + 5% of expansion ACV
2024-07,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-07,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-07,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-08,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-08,COGS,infrastructure,Hosting,27163.69,"cloud infrastructure, % of MRR"
2024-08,COGS,infrastructure,Third-party licences,16378.11,"carrier / EDI / mapping licences, % of MRR"
2024-08,GA,corporate,"Facilities, insurance, professional fees",45856.97,fixed corporate overhead
2024-08,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-08,RD,engineering,Personnel,192500.0,11 x engineering fully loaded
2024-08,RD,engineering,R&D tooling,24470.16,"CI, observability, dev environments"
2024-08,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-08,SM,events,Marketing programmes,11700.0,ties to marketing_spend.csv
2024-08,SM,inbound_content,Marketing programmes,13700.0,ties to marketing_spend.csv
2024-08,SM,marketing,Marketing operations,13608.37,"martech stack, agency retainers"
2024-08,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-08,SM,outbound_sdr,Marketing programmes,7666.67,ties to marketing_spend.csv
2024-08,SM,paid_search,Marketing programmes,25500.0,ties to marketing_spend.csv
2024-08,SM,paid_social,Marketing programmes,10230.77,ties to marketing_spend.csv
2024-08,SM,partner,Marketing programmes,7555.56,ties to marketing_spend.csv
2024-08,SM,sales,Sales commission,9458.4,10% of new ACV + 5% of expansion ACV
2024-08,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-08,SM,sdr,Personnel,33000.0,3 x sdr fully loaded
2024-08,SM,sdr_manager,Personnel,16000.0,1 x sdr_manager fully loaded
2024-09,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-09,COGS,infrastructure,Hosting,27892.72,"cloud infrastructure, % of MRR"
2024-09,COGS,infrastructure,Third-party licences,16817.67,"carrier / EDI / mapping licences, % of MRR"
2024-09,GA,corporate,"Facilities, insurance, professional fees",46430.18,fixed corporate overhead
2024-09,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-09,RD,engineering,Personnel,192500.0,11 x engineering fully loaded
2024-09,RD,engineering,R&D tooling,24812.74,"CI, observability, dev environments"
2024-09,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-09,SM,events,Marketing programmes,12300.0,ties to marketing_spend.csv
2024-09,SM,inbound_content,Marketing programmes,14250.0,ties to marketing_spend.csv
2024-09,SM,marketing,Marketing operations,13764.86,"martech stack, agency retainers"
2024-09,SM,marketing,Personnel,42000.0,3 x marketing fully loaded
2024-09,SM,outbound_sdr,Marketing programmes,8000.0,ties to marketing_spend.csv
2024-09,SM,paid_search,Marketing programmes,26491.67,ties to marketing_spend.csv
2024-09,SM,paid_social,Marketing programmes,10615.38,ties to marketing_spend.csv
2024-09,SM,partner,Marketing programmes,7933.33,ties to marketing_spend.csv
2024-09,SM,sales,Sales commission,17591.4,10% of new ACV + 5% of expansion ACV
2024-09,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-09,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2024-09,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2024-10,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-10,COGS,infrastructure,Hosting,28823.02,"cloud infrastructure, % of MRR"
2024-10,COGS,infrastructure,Third-party licences,17378.59,"carrier / EDI / mapping licences, % of MRR"
2024-10,GA,corporate,"Facilities, insurance, professional fees",47010.56,fixed corporate overhead
2024-10,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-10,RD,engineering,Personnel,192500.0,11 x engineering fully loaded
2024-10,RD,engineering,R&D tooling,25160.12,"CI, observability, dev environments"
2024-10,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-10,SM,events,Marketing programmes,12900.0,ties to marketing_spend.csv
2024-10,SM,inbound_content,Marketing programmes,14800.0,ties to marketing_spend.csv
2024-10,SM,marketing,Marketing operations,13923.16,"martech stack, agency retainers"
2024-10,SM,marketing,Personnel,56000.0,4 x marketing fully loaded
2024-10,SM,outbound_sdr,Marketing programmes,8333.33,ties to marketing_spend.csv
2024-10,SM,paid_search,Marketing programmes,27483.33,ties to marketing_spend.csv
2024-10,SM,paid_social,Marketing programmes,11000.0,ties to marketing_spend.csv
2024-10,SM,partner,Marketing programmes,8311.11,ties to marketing_spend.csv
2024-10,SM,sales,Sales commission,19785.0,10% of new ACV + 5% of expansion ACV
2024-10,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-10,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2024-10,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2024-11,COGS,cs_am,Personnel,60000.0,5 x cs_am fully loaded
2024-11,COGS,infrastructure,Hosting,29502.28,"cloud infrastructure, % of MRR"
2024-11,COGS,infrastructure,Third-party licences,17788.14,"carrier / EDI / mapping licences, % of MRR"
2024-11,GA,corporate,"Facilities, insurance, professional fees",47598.19,fixed corporate overhead
2024-11,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-11,RD,engineering,Personnel,192500.0,11 x engineering fully loaded
2024-11,RD,engineering,R&D tooling,25512.36,"CI, observability, dev environments"
2024-11,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-11,SM,events,Marketing programmes,13500.0,ties to marketing_spend.csv
2024-11,SM,inbound_content,Marketing programmes,15350.0,ties to marketing_spend.csv
2024-11,SM,marketing,Marketing operations,14083.28,"martech stack, agency retainers"
2024-11,SM,marketing,Personnel,56000.0,4 x marketing fully loaded
2024-11,SM,outbound_sdr,Marketing programmes,8666.67,ties to marketing_spend.csv
2024-11,SM,paid_search,Marketing programmes,28475.0,ties to marketing_spend.csv
2024-11,SM,paid_social,Marketing programmes,18000.0,ties to marketing_spend.csv
2024-11,SM,partner,Marketing programmes,8688.89,ties to marketing_spend.csv
2024-11,SM,sales,Sales commission,13768.8,10% of new ACV + 5% of expansion ACV
2024-11,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-11,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2024-11,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2024-12,COGS,cs_am,Personnel,72000.0,6 x cs_am fully loaded
2024-12,COGS,infrastructure,Hosting,29939.72,"cloud infrastructure, % of MRR"
2024-12,COGS,infrastructure,Third-party licences,18051.89,"carrier / EDI / mapping licences, % of MRR"
2024-12,GA,corporate,"Facilities, insurance, professional fees",48193.17,fixed corporate overhead
2024-12,GA,ga,Personnel,62000.0,4 x ga fully loaded
2024-12,RD,engineering,Personnel,210000.0,12 x engineering fully loaded
2024-12,RD,engineering,R&D tooling,25869.53,"CI, observability, dev environments"
2024-12,SM,ae,Personnel,75000.0,5 x ae fully loaded
2024-12,SM,events,Marketing programmes,14100.0,ties to marketing_spend.csv
2024-12,SM,inbound_content,Marketing programmes,15900.0,ties to marketing_spend.csv
2024-12,SM,marketing,Marketing operations,14245.23,"martech stack, agency retainers"
2024-12,SM,marketing,Personnel,56000.0,4 x marketing fully loaded
2024-12,SM,outbound_sdr,Marketing programmes,9000.0,ties to marketing_spend.csv
2024-12,SM,paid_search,Marketing programmes,29466.67,ties to marketing_spend.csv
2024-12,SM,paid_social,Marketing programmes,21200.0,ties to marketing_spend.csv
2024-12,SM,partner,Marketing programmes,9066.67,ties to marketing_spend.csv
2024-12,SM,sales,Sales commission,9151.2,10% of new ACV + 5% of expansion ACV
2024-12,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2024-12,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2024-12,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2025-01,COGS,cs_am,Personnel,72000.0,6 x cs_am fully loaded
2025-01,COGS,infrastructure,Hosting,30983.79,"cloud infrastructure, % of MRR"
2025-01,COGS,infrastructure,Third-party licences,18681.4,"carrier / EDI / mapping licences, % of MRR"
2025-01,GA,corporate,"Facilities, insurance, professional fees",48795.58,fixed corporate overhead
2025-01,GA,ga,Personnel,62000.0,4 x ga fully loaded
2025-01,RD,engineering,Personnel,210000.0,12 x engineering fully loaded
2025-01,RD,engineering,R&D tooling,26231.71,"CI, observability, dev environments"
2025-01,SM,ae,Personnel,75000.0,5 x ae fully loaded
2025-01,SM,events,Marketing programmes,14700.0,ties to marketing_spend.csv
2025-01,SM,inbound_content,Marketing programmes,16450.0,ties to marketing_spend.csv
2025-01,SM,marketing,Marketing operations,14409.05,"martech stack, agency retainers"
2025-01,SM,marketing,Personnel,56000.0,4 x marketing fully loaded
2025-01,SM,outbound_sdr,Marketing programmes,9333.33,ties to marketing_spend.csv
2025-01,SM,paid_search,Marketing programmes,30458.33,ties to marketing_spend.csv
2025-01,SM,paid_social,Marketing programmes,24400.0,ties to marketing_spend.csv
2025-01,SM,partner,Marketing programmes,9444.44,ties to marketing_spend.csv
2025-01,SM,sales,Sales commission,17960.4,10% of new ACV + 5% of expansion ACV
2025-01,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2025-01,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2025-01,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2025-02,COGS,cs_am,Personnel,72000.0,6 x cs_am fully loaded
2025-02,COGS,infrastructure,Hosting,32529.85,"cloud infrastructure, % of MRR"
2025-02,COGS,infrastructure,Third-party licences,19613.58,"carrier / EDI / mapping licences, % of MRR"
2025-02,GA,corporate,"Facilities, insurance, professional fees",49405.53,fixed corporate overhead
2025-02,GA,ga,Personnel,62000.0,4 x ga fully loaded
2025-02,RD,engineering,Personnel,210000.0,12 x engineering fully loaded
2025-02,RD,engineering,R&D tooling,26598.95,"CI, observability, dev environments"
2025-02,SM,ae,Personnel,90000.0,6 x ae fully loaded
2025-02,SM,events,Marketing programmes,15300.0,ties to marketing_spend.csv
2025-02,SM,inbound_content,Marketing programmes,17000.0,ties to marketing_spend.csv
2025-02,SM,marketing,Marketing operations,14574.76,"martech stack, agency retainers"
2025-02,SM,marketing,Personnel,56000.0,4 x marketing fully loaded
2025-02,SM,outbound_sdr,Marketing programmes,9666.67,ties to marketing_spend.csv
2025-02,SM,paid_search,Marketing programmes,31450.0,ties to marketing_spend.csv
2025-02,SM,paid_social,Marketing programmes,27600.0,ties to marketing_spend.csv
2025-02,SM,partner,Marketing programmes,9822.22,ties to marketing_spend.csv
2025-02,SM,sales,Sales commission,34275.06,10% of new ACV + 5% of expansion ACV
2025-02,SM,sales_engineer,Personnel,33000.0,2 x sales_engineer fully loaded
2025-02,SM,sdr,Personnel,44000.0,4 x sdr fully loaded
2025-02,SM,sdr_manager,Personnel,32000.0,2 x sdr_manager fully loaded
2025-03,COGS,cs_am,Personnel,72000.0,6 x cs_am fully loaded
